,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,Female,0,Yes,No,0.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,No
1,Male,0,No,No,1.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,0.0,0.0,No
2,Male,0,No,No,0.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,Yes
3,Male,0,No,No,1.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),0.0,0.0,No
4,Female,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
5,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
6,Male,0,No,Yes,0.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1.0,0.0,No
7,Female,0,No,No,0.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
8,Female,0,Yes,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
9,Male,0,No,Yes,1.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),0.0,1.0,No
10,Male,0,Yes,Yes,0.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,No
11,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.0,0.0,No
12,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.0,1.0,No
13,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,1.0,Yes
14,Male,0,No,No,0.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,No
