customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,Female,0,Yes,No,0,No,Nophoneservice,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,0,No
1,Male,0,No,No,1,Yes,No,DSL,Yes,No,Yes,No,No,No,Oneyear,No,Mailedcheck,1,1,No
2,Male,0,No,No,0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailedcheck,1,0,Yes
3,Male,0,No,No,1,No,Nophoneservice,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,Banktransfer(automatic),1,1,No
4,Female,0,No,No,0,Yes,No,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,0,Yes
5,Female,0,No,No,0,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
6,Male,0,No,Yes,1,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Creditcard(automatic),1,1,No
7,Female,0,No,No,0,No,Nophoneservice,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailedcheck,1,0,No
8,Female,0,Yes,No,1,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
9,Male,0,No,Yes,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Oneyear,No,Banktransfer(automatic),1,1,No
10,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailedcheck,1,1,No
11,Male,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Creditcard(automatic),0,0,No
12,Male,0,Yes,No,1,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,No,Creditcard(automatic),1,1,No
13,Male,0,No,No,1,Yes,Yes,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Banktransfer(automatic),1,1,Yes
14,Male,0,No,No,1,Yes,No,Fiberoptic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,No
15,Female,0,Yes,Yes,1,Yes,Yes,Fiberoptic,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,No,Creditcard(automatic),1,1,No
